Season,Episode,WrittenBy,Scene,Character,Dialogue,IsChorusLine,IsMainCharacter,Location_raw,Location,WordCount,EpisodeLabel
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,"It's Ben and his Da-Da. Da-Da? Can you say Da-Da? Y'know, you might as well say it because I told your",False,True,Central Perk,Central Perk,21,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ben,DaDa.,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,"Can you say Da-Da? See, I'm gonna tell your mommies you said it anyway, so you might as well try",False,True,Central Perk,Central Perk,20,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ben,DaDa.,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,Huh?,False,True,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ben,DaDa.,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,"Yeah, he's saying Da-Da.",False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,"And then sometimes during the show y'know but you're like, the scene's going one way but you're just tempted to say something another time. Like, do you remember that one where Monica's baking cookies in our old apartment?",False,False,Central Perk,Central Perk,38,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,She's trying to intrigue us to hang out with her.,False,False,Central Perk,Central Perk,10,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,"Yeah, she's trying to waft the smell across the hall to get us to come hang out in her new place, and we're sitting there eating pizza and I think it was you (Points to Lisa) that said",False,False,Central Perk,Central Perk,38,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",phoebe,What do I smell?,False,True,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,"I think I was supposed to say, ""I don't know,"" and go over and open the door. And I went",False,False,Central Perk,Central Perk,20,Unknown
